,ONI,P_1,P_2,P_3,P_4,P_5,0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,0,P_1,Generacion_Hidro_GWh,P_1,P_2,P_3,P_4,P_5,esc-2,0,P_1,P_2,P_3,P_4
13,-0.5,-0.7,-0.7,-0.7,-0.6,-0.5,-1.4997159819267807,-1.034674608333101,-1.1352114002132687,-1.2181219849076044,-0.8509090578561832,0.5062552621958811,-0.5223850497291412,-0.9145746133769886,-0.9233767680339633,-0.7098708115728379,-1.1469470996482252,-0.5465086175947356,-0.7550023108698968,2309.095860000001,2573.168247,2928.456323,2650.205438,2594.785773,2521.473709,3300.285337000001,991.1894770000004,939.5857189999997,716.5023330000004,877.4208080000012,981.2818749999997
14,-0.4,-0.5,-0.7,-0.7,-0.7,-0.6,-0.92598107047107,-1.4997159819267807,-1.034674608333101,-1.1352114002132687,-1.2181219849076044,-0.8509090578561832,0.5062552621958811,-0.5223850497291412,-0.9145746133769886,-0.9233767680339633,-0.7098708115728379,-0.13717249061515197,-0.5465086175947356,2519.418673,2309.095860000001,2573.168247,2928.456323,2650.205438,2594.785773,3669.375858,1149.9571849999998,991.1894770000004,939.5857189999997,716.5023330000004,877.4208080000012
15,-0.3,-0.4,-0.5,-0.7,-0.7,-0.7,-1.4013149394804827,-0.92598107047107,-1.4997159819267807,-1.034674608333101,-1.1352114002132687,-1.2181219849076044,-0.8509090578561832,0.5062552621958811,-0.5223850497291412,-0.9145746133769886,-0.9233767680339633,-0.5460891919697692,-0.13717249061515197,2377.128038,2519.418673,2309.095860000001,2573.168247,2928.456323,2650.205438,3498.879215,1121.751177,1149.9571849999998,991.1894770000004,939.5857189999997,716.5023330000004
16,-0.3,-0.3,-0.4,-0.5,-0.7,-0.7,-1.3859202015706331,-1.4013149394804827,-0.92598107047107,-1.4997159819267807,-1.034674608333101,-1.1352114002132687,-1.2181219849076044,-0.8509090578561832,0.5062552621958811,-0.5223850497291412,-0.9145746133769886,-0.6181733566721519,-0.5460891919697692,2615.8036850000008,2377.128038,2519.418673,2309.095860000001,2573.168247,2928.456323,3666.352696,1050.5490109999992,1121.751177,1149.9571849999998,991.1894770000004,939.5857189999997
17,-0.1,-0.3,-0.3,-0.4,-0.5,-0.7,-1.6105535613793225,-1.3859202015706331,-1.4013149394804827,-0.92598107047107,-1.4997159819267807,-1.034674608333101,-1.1352114002132687,-1.2181219849076044,-0.8509090578561832,0.5062552621958811,-0.5223850497291412,-0.5939151397067536,-0.6181733566721519,2596.985522,2615.8036850000008,2377.128038,2519.418673,2309.095860000001,2573.168247,3451.935581,854.9500590000002,1050.5490109999992,1121.751177,1149.9571849999998,991.1894770000004
18,-0.1,-0.1,-0.3,-0.3,-0.4,-0.5,-1.6177844610770011,-1.6105535613793225,-1.3859202015706331,-1.4013149394804827,-0.92598107047107,-1.4997159819267807,-1.034674608333101,-1.1352114002132687,-1.2181219849076044,-0.8509090578561832,0.5062552621958811,-0.6146457762241193,-0.5939151397067536,2843.923213,2596.985522,2615.8036850000008,2377.128038,2519.418673,2309.095860000001,3607.611341,763.6881279999998,854.9500590000002,1050.5490109999992,1121.751177,1149.9571849999998
19,-0.1,-0.1,-0.1,-0.3,-0.3,-0.4,-1.693907058257804,-1.6177844610770011,-1.6105535613793225,-1.3859202015706331,-1.4013149394804827,-0.92598107047107,-1.4997159819267807,-1.034674608333101,-1.1352114002132687,-1.2181219849076044,-0.8509090578561832,-0.5886708753992704,-0.6146457762241193,2951.048917,2843.923213,2596.985522,2615.8036850000008,2377.128038,2519.418673,3730.510504,779.4615869999998,763.6881279999998,854.9500590000002,1050.5490109999992,1121.751177
20,-0.2,-0.1,-0.1,-0.1,-0.3,-0.3,-0.9967673186997859,-1.693907058257804,-1.6177844610770011,-1.6105535613793225,-1.3859202015706331,-1.4013149394804827,-0.92598107047107,-1.4997159819267807,-1.034674608333101,-1.1352114002132687,-1.2181219849076044,-0.2845939589247858,-0.5886708753992704,2826.064577,2951.048917,2843.923213,2596.985522,2615.8036850000008,2377.128038,3594.773093,768.7085159999997,779.4615869999998,763.6881279999998,854.9500590000002,1050.5490109999992
21,-0.3,-0.2,-0.1,-0.1,-0.1,-0.3,-1.8220599480754271,-0.9967673186997859,-1.693907058257804,-1.6177844610770011,-1.6105535613793225,-1.3859202015706331,-1.4013149394804827,-0.92598107047107,-1.4997159819267807,-1.034674608333101,-1.1352114002132687,-0.7116027058836378,-0.2845939589247858,3006.930357,2826.064577,2951.048917,2843.923213,2596.985522,2615.8036850000008,3746.3550189999996,739.4246619999994,768.7085159999997,779.4615869999998,763.6881279999998,854.9500590000002
22,-0.3,-0.3,-0.2,-0.1,-0.1,-0.1,-1.2250919572207548,-1.8220599480754271,-0.9967673186997859,-1.693907058257804,-1.6177844610770011,-1.6105535613793225,-1.3859202015706331,-1.4013149394804827,-0.92598107047107,-1.4997159819267807,-1.034674608333101,-0.858084989951239,-0.7116027058836378,2741.675139,3006.930357,2826.064577,2951.048917,2843.923213,2596.985522,3613.553128,871.8779890000001,739.4246619999994,768.7085159999997,779.4615869999998,763.6881279999998
