fecha,esc_0,esc_1,esc_2,prob_0,prob_1,prob_2
2018-02,10.0,50.0,90.0,30.0,40.0,30.0
2018-03,10.0,50.0,90.0,30.0,40.0,30.0
2018-04,10.0,50.0,90.0,30.0,40.0,30.0
2018-05,10.0,50.0,90.0,30.0,40.0,30.0
2018-06,10.0,50.0,90.0,30.0,40.0,30.0
2018-07,10.0,50.0,90.0,30.0,40.0,30.0
2018-08,10.0,50.0,90.0,30.0,40.0,30.0
2018-09,10.0,50.0,90.0,30.0,40.0,30.0
2018-10,10.0,50.0,90.0,30.0,40.0,30.0
2018-11,10.0,50.0,90.0,30.0,40.0,30.0
2018-12,10.0,50.0,90.0,30.0,40.0,30.0
2019-01,10.0,50.0,90.0,30.0,40.0,30.0
2019-02,10.0,50.0,90.0,30.0,40.0,30.0
2019-03,10.0,50.0,90.0,30.0,40.0,30.0
2019-04,10.0,50.0,90.0,30.0,40.0,30.0
2019-05,10.0,50.0,90.0,30.0,40.0,30.0
2019-06,10.0,50.0,90.0,30.0,40.0,30.0
2019-07,10.0,50.0,90.0,30.0,40.0,30.0
2019-08,10.0,50.0,90.0,30.0,40.0,30.0
2019-09,10.0,50.0,90.0,30.0,40.0,30.0
2019-10,10.0,50.0,90.0,30.0,40.0,30.0
2019-11,10.0,50.0,90.0,30.0,40.0,30.0
2019-12,10.0,50.0,90.0,30.0,40.0,30.0
2020-01,10.0,50.0,90.0,30.0,40.0,30.0
2020-02,10.0,50.0,90.0,30.0,40.0,30.0
2020-03,10.0,50.0,90.0,30.0,40.0,30.0
2020-04,10.0,50.0,90.0,30.0,40.0,30.0
2020-05,10.0,50.0,90.0,30.0,40.0,30.0
2020-06,10.0,50.0,90.0,30.0,40.0,30.0
2020-07,10.0,50.0,90.0,30.0,40.0,30.0
2020-08,10.0,50.0,90.0,30.0,40.0,30.0
2020-09,10.0,50.0,90.0,30.0,40.0,30.0
2020-10,10.0,50.0,90.0,30.0,40.0,30.0
2020-11,10.0,50.0,90.0,30.0,40.0,30.0
2020-12,10.0,50.0,90.0,30.0,40.0,30.0
2021-01,10.0,50.0,90.0,30.0,40.0,30.0
2021-02,10.0,50.0,90.0,30.0,40.0,30.0
2021-03,10.0,50.0,90.0,30.0,40.0,30.0
2021-04,10.0,50.0,90.0,30.0,40.0,30.0
2021-05,10.0,50.0,90.0,30.0,40.0,30.0
2021-06,10.0,50.0,90.0,30.0,40.0,30.0
2021-07,10.0,50.0,90.0,30.0,40.0,30.0
2021-08,10.0,50.0,90.0,30.0,40.0,30.0
2021-09,10.0,50.0,90.0,30.0,40.0,30.0
2021-10,10.0,50.0,90.0,30.0,40.0,30.0
2021-11,10.0,50.0,90.0,30.0,40.0,30.0
2021-12,10.0,50.0,90.0,30.0,40.0,30.0
2022-01,10.0,50.0,90.0,30.0,40.0,30.0
2022-02,10.0,50.0,90.0,30.0,40.0,30.0
2022-03,10.0,50.0,90.0,30.0,40.0,30.0
2022-04,10.0,50.0,90.0,30.0,40.0,30.0
2022-05,10.0,50.0,90.0,30.0,40.0,30.0
2022-06,10.0,50.0,90.0,30.0,40.0,30.0
2022-07,10.0,50.0,90.0,30.0,40.0,30.0
2022-08,10.0,50.0,90.0,30.0,40.0,30.0
2022-09,10.0,50.0,90.0,30.0,40.0,30.0
2022-10,10.0,50.0,90.0,30.0,40.0,30.0
2022-11,10.0,50.0,90.0,30.0,40.0,30.0
2022-12,10.0,50.0,90.0,30.0,40.0,30.0
