Fecha,Mes,Derivex_Max,Derivex_Min
2013-05,2014-01,147.19,138.52
2013-05,2014-02,147.27,139.53
2013-05,2014-03,139.92,131.48
2013-05,2014-04,129.81,123.24
2013-05,2014-05,124.88,114.5
2013-06,2013-06,140.0,115.0
2013-06,2013-07,128.0,115.59
2013-06,2013-08,128.0,115.26
2013-06,2013-09,129.0,121.0
2013-06,2013-10,129.0,123.0
2013-06,2013-11,127.5,122.0
2013-06,2013-12,140.0,127.5
2013-06,2014-01,147.34,133.22
2013-06,2014-02,150.44,140.0
2013-06,2014-03,142.46,129.93
2013-06,2014-04,125.0,120.0
2013-06,2014-05,120.61,117.27
2013-06,2014-06,120.81,112.5
2013-07,2013-07,234.5,133.25
2013-07,2013-08,180.0,130.97
2013-07,2013-09,154.81,130.0
2013-07,2013-10,154.69,130.0
2013-07,2013-11,156.0,132.56
2013-07,2013-12,166.15,135.0
2013-07,2014-01,172.37,147.22
2013-07,2014-02,165.0,150.88
2013-07,2014-03,150.0,141.13
2013-07,2014-04,137.93,124.31
2013-07,2014-05,127.99,115.0
2013-07,2014-06,124.0,116.02
2013-07,2014-07,118.1,105.0
2013-08,2013-08,200.0,147.0
2013-08,2013-09,171.0,145.0
2013-08,2013-10,160.0,140.0
2013-08,2013-11,160.0,145.0
2013-08,2013-12,170.0,144.0
2013-08,2014-01,160.0,145.18
2013-08,2014-02,155.44,138.0
2013-08,2014-03,149.87,130.88
2013-08,2014-04,139.31,126.82
2013-08,2014-05,121.5,115.41
2013-08,2014-06,119.27,110.26
2013-08,2014-07,119.1,105.0
2013-08,2014-08,129.0,110.0
2013-09,2013-09,150.0,135.9
2013-09,2013-10,150.0,133.67
2013-09,2013-11,150.0,135.0
2013-09,2013-12,150.0,137.13
2013-09,2014-01,150.23,144.39
2013-09,2014-02,153.89,146.44
2013-09,2014-03,159.25,146.3
2013-09,2014-04,142.86,130.0
2013-09,2014-05,120.0,114.46
2013-09,2014-06,121.34,114.22
2013-09,2014-07,121.0,108.2
2013-09,2014-08,125.7,112.1
2013-09,2014-09,129.9,105.0
2013-09,2014-10,135.7,119.4
