fecha,esc-0,esc-1,esc-2
2008-10,4682.505017,4682.505017,4682.505017
2008-11,4459.548302,4459.548302,4459.548302
2008-12,4583.500639,4583.500639,4583.500639
2009-01,4464.732429,4464.732429,4464.732429
2009-02,4177.199533,4177.199533,4177.199533
2009-03,4560.086134,4560.086134,4560.086134
2009-04,4406.119785,4406.119785,4406.119785
2009-05,4586.64,4586.64,4586.64
2009-06,4414.265217,4414.265217,4414.265217
2009-07,4653.415968,4653.415968,4653.415968
2009-08,4649.432103,4649.432103,4649.432103
2009-09,4680.945505,4680.945505,4680.945505
2009-10,4737.305677,4737.305677,4737.305677
2009-11,4607.553537,4607.553537,4607.553537
2009-12,4741.172196,4741.172196,4741.172196
2010-01,4576.940516,4576.940516,4576.940516
2010-02,4409.459581,4409.459581,4409.459581
2010-03,4890.121369,4890.121369,4890.121369
2010-04,4610.754527,4610.754527,4610.754527
2010-05,4785.909138,4785.909138,4785.909138
2010-06,4587.074179,4587.074179,4587.074179
2010-07,4706.751242,4706.751242,4706.751242
2010-08,4771.810216,4771.810216,4771.810216
2010-09,4664.845197,4664.845197,4664.845197
2010-10,4818.6964659999985,4818.6964659999985,4818.6964659999985
2010-11,4615.735254,4615.735254,4615.735254
2010-12,4707.231941,4707.231941,4707.231941
2011-01,4666.629923,4666.629923,4666.629923
2011-02,4359.000437,4359.000437,4359.000437
2011-03,4801.20536,4801.20536,4801.20536
2011-04,4587.452785,4587.452785,4587.452785
2011-05,4855.477120000001,4855.477120000001,4855.477120000001
2011-06,4693.72695,4693.72695,4693.72695
2011-07,4817.043819,4817.043819,4817.043819
2011-08,4978.716136,4978.716136,4978.716136
2011-09,4601.694304,4601.694304,4601.694304
2011-10,4573.200468,4573.200468,4573.200468
2011-11,4790.823863000001,4790.823863000001,4790.823863000001
2011-12,5013.811457,5013.811457,5013.811457
2012-01,4806.914289,4806.914289,4806.914289
2012-02,4631.699497,4631.699497,4631.699497
2012-03,5033.862344,5033.862344,5033.862344
2012-04,4724.690348,4724.690348,4724.690348
2012-05,5032.708743,5032.708743,5032.708743
2012-06,4893.700379,4893.700379,4893.700379
2012-07,5033.978349,5033.978349,5033.978349
2012-08,5104.311004,5104.311004,5104.311004
2012-09,5024.614399,5024.614399,5024.614399
2012-10,5069.525185,5069.525185,5069.525185
2012-11,4979.617458,4979.617458,4979.617458
2012-12,5034.274389,5034.274389,5034.274389
2013-01,5025.202451,5025.202451,5025.202451
2013-02,4609.685803,4609.685803,4609.685803
2013-03,5033.036816,5033.036816,5033.036816
2013-04,5106.221045,5106.221045,5106.221045
2013-05,5163.347702,5163.347702,5163.347702
2013-06,4955.012794,4955.012794,4955.012794
2013-07,5205.5003670000015,5205.5003670000015,5205.5003670000015
2013-08,5196.476103,5196.476103,5196.476103
2013-09,5084.604754,5084.604754,5084.604754
2013-10,5249.0490340000015,5249.0490340000015,5249.0490340000015
2013-11,5085.699291,5085.699291,5085.699291
2013-12,5176.440578,5176.440578,5176.440578
2014-01,5166.88983,5166.88983,5166.88983
2014-02,4902.07812,4902.07812,4902.07812
2014-03,5316.729997,5316.729997,5316.729997
2014-04,5168.990082,5168.990082,5168.990082
2014-05,5410.874764,5410.874764,5410.874764
2014-06,5218.074439,5218.074439,5218.074439
2014-07,5513.590528,5513.590528,5513.590528
2014-08,5418.881147,5418.881147,5418.881147
2014-09,5345.774353,5345.774353,5345.774353
2014-10,5461.280266,5461.280266,5461.280266
2014-11,5250.695521,5250.695521,5250.695521
2014-12,5397.388815,5397.388815,5397.388815
2015-01,5309.656095,5309.656095,5309.656095
2015-02,5048.313721,5048.313721,5048.313721
2015-03,5533.328884000001,5533.328884000001,5533.328884000001
2015-04,5278.067244,5278.067244,5278.067244
2015-05,5622.903456,5622.903456,5622.903456
2015-06,5413.92554,5413.92554,5413.92554
2015-07,5669.228469,5669.228469,5669.228469
2015-08,5691.353902000003,5691.353902000003,5691.353902000003
2015-09,5701.075209000001,5701.075209000001,5701.075209000001
2015-10,5762.726801,5762.726801,5762.726801
2015-11,5441.192819,5441.192819,5441.192819
2015-12,5534.75739,5534.75739,5534.75739
2016-01,5583.733865,5583.733865,5583.733865
2016-02,5464.923954,5464.923954,5464.923954
2016-03,5567.0538659999975,5567.0538659999975,5567.0538659999975
2016-04,5396.940514,5396.940514,5396.940514
2016-05,5550.004265,5550.004265,5550.004265
2016-06,5400.642943,5400.642943,5400.642943
2016-07,5488.292707,5488.292707,5488.292707
2016-08,5762.191346000001,5762.191346000001,5762.191346000001
2016-09,5541.867547999997,5541.867547999997,5541.867547999997
2016-10,5587.353321000001,5587.353321000001,5587.353321000001
2016-11,5428.488358,5428.488358,5428.488358
2016-12,5547.980992,5547.980992,5547.980992
2017-01,5428.132635,5428.132635,5428.132635
2017-02,5188.569858,5188.569858,5188.569858
2017-03,5607.756203,5607.756203,5607.756203
2017-04,5451.2320850000015,5451.2320850000015,5451.2320850000015
2017-05,5681.911135,5681.911135,5681.911135
2017-06,5492.867052000001,5492.867052000001,5492.867052000001
2017-07,5665.040999,5665.040999,5665.040999
2017-08,5769.319464,5769.319464,5769.319464
2017-09,5623.579024000002,5623.579024000002,5623.579024000002
2017-10,5740.345421,5740.345421,5740.345421
2017-11,5572.747281,5572.747281,5572.747281
2017-12,5671.566497,5671.566497,5671.566497
2018-01,5618.579084,5618.579084,5618.579084
2018-02,5620.72919693949,5622.01452881386,5622.86945598725
2018-03,5623.11063889793,5625.820507285539,5627.623332266822
2018-04,5625.493089847481,5629.629062319775,5632.381227729102
2018-05,5627.876550215643,5633.440195660842,5637.143145772121
2018-06,5630.261020430095,5637.253909054197,5641.909089796787
2018-07,5632.646500918699,5641.070204246478,5646.6790632068805
2018-08,5635.032992109495,5644.889082985506,5651.453069409061
2018-09,5637.4204944307085,5648.710547020284,5656.231111812868
2018-10,5639.809008310744,5652.534598100999,5661.013193830724
2018-11,5642.1985341781865,5656.361237979023,5665.799318877935
2018-12,5644.589072461806,5660.190468406916,5670.589490372695
2019-01,5541.235973448678,5565.404760967374,5581.538032344836
2019-02,5265.900556257931,5288.868434227506,5304.200068384202
2019-03,5711.327964464528,5736.23862928446,5752.867122353136
2019-04,5512.068245722311,5536.109814581272,5552.158164315055
2019-05,5745.405313438803,5770.464610840078,5787.192319881772
2019-06,5535.461786168319,5559.605388853498,5575.721848723414
2019-07,5752.418961056335,5777.508849351016,5794.256978580715
2019-08,5829.393183354772,5854.818804260744,5871.7910434224805
2019-09,5699.820339284758,5724.680812171132,5741.275800866266
2019-10,5822.742205227679,5848.138817068179,5865.091691951699
2019-11,5669.910972825134,5694.640992302513,5711.148900077771
2019-12,5829.949412404716,5855.377459372632,5872.351317991517
2020-01,5568.94215331592,5609.927999055114,5637.353412668284
2020-02,5292.230059039221,5331.179381701326,5357.242069068043
2020-03,5739.88460428685,5782.128538318736,5810.395793576668
2020-04,5539.628586950922,5580.398693097922,5607.679745958206
2020-05,5774.132340005996,5816.6283277267985,5845.064243080589
2020-06,5563.13909509916,5604.082231964326,5631.479067210648
2020-07,5781.181055861616,5823.728920145824,5852.199548366522
2020-08,5858.5401492715455,5901.657354694831,5930.508953856705
2020-09,5728.319440981181,5770.4782586685005,5798.688558874929
2020-10,5851.855916253817,5894.923927604726,5923.742608871216
2020-11,5698.260527689259,5740.198120240932,5768.2603890785485
2020-12,5859.0991594667385,5902.2204790476135,5931.074831171432
2021-01,5596.7868640825,5654.807423047554,5693.726946794968
2021-02,5318.691209334416,5373.828816754936,5410.814489758724
2021-03,5768.584027308284,5828.385566625286,5868.499751512435
2021-04,5567.326729885676,5625.041882642705,5663.756543417789
2021-05,5803.003001706026,5863.161354348613,5903.514885511396
2021-06,5590.954790574656,5648.91488982004,5687.793857882755
2021-07,5810.086961140924,5870.31875150699,5910.721543850188
2021-08,5887.832850017903,5948.870613532389,5989.814043395273
2021-09,5756.961038186087,5816.642084737849,5856.675444463679
2021-10,5881.115195835086,5942.083319025563,5982.98003495993
2021-11,5726.751830327705,5786.11970520286,5825.942992969334
2021-12,5888.394655264073,5949.438242879994,5990.385579483147
2022-01,,,
2022-02,,,
2022-03,,,
2022-04,,,
2022-05,,,
2022-06,,,
2022-07,,,
2022-08,,,
2022-09,,,
2022-10,,,
2022-11,,,
2022-12,,,
